Triang 1, Triang 2
1: 4 5 6 8 11 14,1: 3 12 16 17
2: 9 10 13 15,2: 3 5 7 9 12 14 16 17
3: 10 11 15 17,3: 1 2 12 14 16
4: 1 5 6,4: 7 8 9 10 11 13
5: 1 4 6 13 14 16,5: 2 7 8 12 15 17
6: 1 4 5 9 11 13,6: 7 8 10
7: 13 15,7: 2 4 5 6 8 9 10 11
8: 1 11,8: 4 5 6 7 9 10 13
9: 2 6 10 11 13,9: 2 4 7 8 15
10: 2 3 9 15,10: 4 6 7 8 11 13
11: 1 3 6 8 9 14 17,11: 4 7 10
12: 13 15 16,12: 1 2 3 5 14 17
13: 2 5 6 7 9 12 15 16,13: 4 8 10
14: 1 5 11 15 16 17,14: 2 3 12
15: 2 3 7 10 12 13 14 16 17,15: 5 9
16: 5 12 13 14 15,16: 1 2 3 17
17: 3 11 14 15,17: 1 2 5 12 16
