Triang 1, Triang 2
1: 2 4 6 16,1: 3 5 12 14 15
2: 1 4 6 9 10 11 12,2: 7 13 17
3: 4 5 8 16 17,3: 1 4 6 14 15
4: 1 2 3 5 11 16 17,4: 3 6 14
5: 3 4 16,5: 1 6 8 12 14 15
6: 1 2 12 16,6: 3 4 5 14 15
7: 9 12 15,7: 2 8 10 11 13 17
8: 3 9 13 14 16 17,8: 5 7 10 11 12 15
9: 2 7 8 11 12 13 15 17,9: 10 12 15
10: 2 11,10: 7 8 9 12 13 17
11: 2 4 9 10 17,11: 7 8 12 13
12: 2 6 7 9 14 16,12: 1 5 8 9 10 11 13 15 16
13: 8 9 15,13: 2 7 10 11 12 17
14: 8 12 15 16,14: 1 3 4 5 6
15: 7 9 13 14,15: 1 3 5 6 8 9 12 16
16: 1 3 4 5 6 8 12 14,16: 12 15
17: 3 4 8 9 11,17: 2 7 10 13
