Triang 1, Triang 2
1: 3 5 7 9 12 13 15 16,1: 2 6 8 11
2: 10 11,2: 1 6 7 8 12 14 16
3: 1 4 5 11 14 15,3: 9 13 17
4: 3 10 11 14 17,4: 5 9 13 15
5: 1 3 9 11,5: 4 13 14 15 17
6: 7 8 10 12,6: 1 2 11 14 16
7: 1 6 8 12 13 16,7: 2 10 14 15 16
8: 6 7 10 14,8: 1 2 11 12 16
9: 1 5 11 12,9: 3 4 13 15 17
10: 2 4 6 8 11 12 14 17,10: 7 14 16
11: 2 3 4 5 9 10 12,11: 1 6 8 16
12: 1 6 7 9 10 11,12: 2 8 16
13: 1 7 14 15,13: 3 4 5 9 17
14: 3 4 8 10 13 15,14: 2 5 6 7 10 16 17
15: 1 3 13 14,15: 4 5 7 9 17
16: 1 7,16: 2 6 7 8 10 11 12 14
17: 4 10,17: 3 5 9 13 14 15
