11,0,21,2,3,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
9,0,17,2,0,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
10,0,19,2,1,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
10,0,19,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
10,0,19,2,2,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,1,3,1.0,30.0,0.0100,1,15000,0.10,0.10
11,0,21,2,2,1,3,1.0,30.0,0.0100,1,15000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,2,0,3,1.0,30.0,0.0100,1,15000,0.10,0.10
10,0,19,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
10,0,19,2,2,0,3,1.0,30.0,0.0100,1,10000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,5000,0.10,0.10
11,0,21,2,3,1,3,1.0,30.0,0.0100,1,5000,0.10,0.10
12,0,23,2,2,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
12,0,23,2,2,1,3,1.0,30.0,0.0100,1,10000,0.10,0.10
